id,name,team_id,email,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos,created_at,updated_at
74,Chery Raynor,1,yessenia_feest@hickle-feil.example,49,4,29,0,243,individual,3,t,solteiro,,0,3,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
75,Dwight Funk,1,cherly.medhurst@predovic.example,76,49,9,2,481,familiar,2,f,casado,,6,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
76,Blair Wunsch,1,hugh@prohaska.test,5,30,10,2,326,individual,3,t,casado,,1,0,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
77,Hana Jacobs,1,glenda@thompson.test,27,7,6,3,91,familiar,7,f,solteiro,,6,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
78,Javier Torphy MD,1,amos@mcglynn.example,62,28,30,1,158,individual,6,f,solteiro,,0,1,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
79,Vida Fadel,1,hai.goodwin@bauch.test,53,73,9,8,350,individual,1,f,divorciado,,2,8,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
80,Mr. Rosenda Buckridge,1,ezra@roberts-zulauf.example,33,63,2,8,181,individual,6,t,casado,,7,4,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
81,Kathryne Schuster JD,1,morris_farrell@von-schultz.test,28,64,31,7,419,individual,2,t,divorciado,,1,10,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
82,Leanna Effertz,1,agueda.christiansen@kihn.test,16,74,29,0,362,individual,4,t,casado,,6,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
83,Darrin Tromp,1,silvia_mills@walker.example,26,44,22,3,210,individual,6,f,casado,,1,3,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
84,Johnathan Hammes,1,belen_torp@kling.test,57,24,32,5,188,individual,2,f,casado,,5,20,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
85,Mckinley Orn DVM,1,reena_kovacek@koepp.example,26,11,37,6,406,familiar,3,f,casado,,8,7,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
86,Frank Beatty,1,machelle@dach.test,21,44,14,5,19,individual,5,t,divorciado,,4,9,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
87,Jordon Bogisich,1,teressa_luettgen@huel.example,3,54,30,6,6,familiar,1,f,solteiro,,7,8,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
88,Jamel Mohr,1,dorie@lehner-wilkinson.example,77,51,7,5,218,individual,7,f,casado,,9,2,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
89,Cassidy O'Keefe,1,charity.connelly@larkin.example,32,15,9,9,319,individual,5,t,divorciado,,0,3,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
90,Rep. Denese Renner,1,dori_toy@moore.example,45,3,13,9,268,familiar,5,f,casado,,6,5,2024-02-17 00:32:27 UTC,2024-02-17 00:32:27 UTC
91,Leopoldo Homenick,1,norbert.stoltenberg@cruickshank.example,83,74,18,4,333,familiar,4,f,divorciado,,7,3,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
92,Hal Schumm,1,jana.stracke@kohler.example,19,53,35,0,221,individual,1,t,solteiro,,2,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
93,Stasia Reynolds,1,tiffanie@lowe-wilkinson.test,70,58,11,3,345,familiar,1,f,divorciado,,1,1,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
94,Christia Monahan,1,roseanne_gerlach@hackett.example,19,51,15,7,58,individual,4,t,casado,,2,9,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
95,Jame Abernathy,1,patrica.marquardt@lueilwitz-mayer.example,74,37,3,5,361,familiar,3,f,casado,,5,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
96,Keneth Steuber,1,shavonda_bayer@gutmann.example,5,30,18,6,193,individual,2,f,divorciado,,4,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
97,Cindi Mitchell,1,burton@rowe-farrell.example,23,18,8,1,379,individual,4,f,casado,,3,2,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
98,Robbie Prosacco CPA,1,max@koch-schaden.example,25,9,10,4,490,individual,5,f,casado,,1,5,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
99,Meta Denesik,1,cleo@sauer.test,5,42,10,6,78,familiar,3,f,divorciado,,10,10,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
100,Ria Ullrich,1,dannie@hauck.test,65,65,4,0,345,individual,2,f,solteiro,,4,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
101,Msgr. Barrett Sipes,1,kimberely_fritsch@herman.test,4,48,24,0,288,familiar,1,f,divorciado,,6,9,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
102,Tanya Mitchell,1,alise_mcglynn@kihn-lueilwitz.test,41,5,33,7,198,familiar,1,t,solteiro,,1,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
103,Jammie Koss,1,romelia@tillman.example,31,38,0,7,281,individual,6,t,solteiro,,6,2,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
104,Sparkle Murazik,1,dominga_botsford@farrell.example,36,47,4,8,426,familiar,4,t,solteiro,,2,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
105,Larry Barrows,1,humberto@ohara.example,39,60,10,8,444,familiar,4,t,divorciado,,8,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
106,Amb. Deandre Breitenberg,1,wilbert.reynolds@davis-swift.example,7,56,1,5,73,familiar,2,f,solteiro,,4,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
107,Clark Steuber,1,rhett_breitenberg@pfannerstill.test,14,24,29,2,134,individual,3,t,casado,,3,5,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
108,Brett Klocko Jr.,1,virgilio@kautzer-abernathy.example,17,40,24,4,98,individual,7,t,divorciado,,2,18,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
109,Lenard Sanford,1,mitchel.bradtke@gorczany.test,86,7,23,4,386,familiar,6,f,divorciado,,5,7,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
110,Gayle Renner,1,margarito@okeefe.example,69,26,21,5,354,individual,6,f,divorciado,,6,16,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
111,Giuseppe Lakin,1,rey@kirlin-lindgren.example,77,9,20,1,89,individual,1,t,solteiro,,1,7,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
112,Hosea Rempel,1,janelle@wisozk-okon.test,21,40,19,6,377,individual,2,f,solteiro,,7,5,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
113,Vicky Ziemann,1,dudley.nikolaus@kessler.test,57,23,24,7,496,individual,7,f,divorciado,,6,9,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
114,Retha Bernier,1,lisette_oconnell@mayert-turner.test,9,17,3,5,297,individual,2,t,solteiro,,10,5,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
115,Carlo Cruickshank,1,jeff@dibbert-oberbrunner.example,27,52,22,7,27,individual,4,t,casado,,9,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
116,Sherril Reynolds,1,sherwood.osinski@stehr-gulgowski.example,37,55,14,7,21,individual,6,f,casado,,0,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
117,Lianne Olson,1,sharita@hilll.example,41,52,8,2,274,familiar,4,t,solteiro,,8,3,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
118,Refugio Wiegand,1,darnell@west.test,40,12,32,2,238,familiar,3,f,divorciado,,5,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
119,Davis Schroeder CPA,1,yaeko_schroeder@oconnell.test,32,33,2,0,90,individual,7,t,divorciado,,7,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
120,Linwood Sanford LLD,1,easter.feil@sauer-schoen.test,30,67,9,0,249,familiar,3,t,casado,,1,3,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
121,Mac Mueller,1,jacquelyn_vonrueden@steuber.example,3,5,33,5,481,familiar,1,t,solteiro,,5,3,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
122,Yajaira Schuppe,1,mary@durgan.example,42,38,9,6,467,individual,7,f,divorciado,,3,8,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
123,Winford Schneider,1,magdalene@hodkiewicz.example,48,6,20,7,408,familiar,1,t,solteiro,,9,17,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
124,Prof. Tatum Zemlak,1,edwin@ratke.example,13,9,29,0,466,individual,3,f,casado,,9,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
125,Terica Crooks Ret.,1,idell@crist.test,44,44,36,7,290,familiar,1,f,casado,,4,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
126,Ms. Kyla Jenkins,1,wilton_hintz@von.test,37,22,29,7,354,familiar,5,f,solteiro,,8,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
127,Shizuko Langworth,1,emilee@mcdermott-gutkowski.example,51,60,10,5,184,individual,3,f,solteiro,,3,1,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
128,Del Robel,1,val_little@denesik.test,29,65,31,1,72,individual,1,f,solteiro,,5,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
129,Victoria Bahringer I,1,hazel@mcglynn.test,70,7,20,7,400,familiar,5,f,casado,,8,7,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
130,Margarito Schuster,1,rod_crooks@wiegand.example,60,29,35,8,152,familiar,6,f,solteiro,,9,20,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
131,Rep. Maren Mayert,1,wade@ullrich-frami.test,31,74,25,7,4,familiar,4,f,casado,,1,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
132,Pamala Bartell,1,arnulfo.dach@mann.test,30,44,31,1,111,familiar,4,f,divorciado,,7,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
133,Rosy Carter,1,yi.kerluke@schroeder-marvin.test,21,18,31,5,123,individual,7,f,casado,,2,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
134,Charisse Osinski,1,ron_langosh@schaden-rowe.example,37,11,20,0,357,individual,7,t,divorciado,,1,8,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
135,Lorna Turner,1,shaina@harber.example,58,52,19,1,134,individual,3,f,divorciado,,5,1,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
136,Fredda Bins,1,jeri@stokes.example,44,20,28,7,368,individual,2,f,casado,,10,9,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
137,Johnie Kunde DC,1,lavera@reynolds.test,23,74,1,9,398,familiar,4,t,casado,,0,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
138,Anya Terry Ret.,1,arnold@labadie.example,74,18,22,0,369,individual,4,t,casado,,1,12,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
139,Velia Powlowski,1,marcellus_gutkowski@reichert.test,23,44,20,7,135,individual,4,t,casado,,4,3,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
140,Manual Tremblay,1,clotilde@lakin-corkery.test,59,13,7,4,67,individual,2,t,casado,,7,3,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
141,Cherie Runolfsdottir MD,1,marilu_considine@lesch-sawayn.example,64,15,28,6,429,individual,4,f,casado,,0,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
142,Derek Mante Jr.,1,franklin_kuphal@fritsch.example,17,40,5,5,89,familiar,4,t,solteiro,,8,8,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
143,Jacquelyne Kohler,1,sherril@mayer-schaden.test,31,14,33,1,200,familiar,1,t,casado,,7,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
144,Cassaundra Murazik,1,isa_grimes@hickle-nitzsche.example,48,48,2,3,91,familiar,3,f,solteiro,,10,14,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
145,Amb. Rosena Halvorson,1,hugo@russel.example,4,48,19,7,203,individual,6,f,solteiro,,6,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
146,Mrs. Lakita Emmerich,1,leonard@glover.example,80,30,31,4,327,familiar,5,t,casado,,3,4,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
147,Lucien Gulgowski,1,josef.braun@will-oreilly.test,78,44,27,3,291,individual,1,t,casado,,6,8,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
148,Dr. Rocio VonRueden,1,roxie.hauck@fisher.example,74,16,34,0,116,familiar,3,t,solteiro,,5,9,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
149,Russell Bechtelar DO,1,frances@lind.example,26,70,8,6,84,familiar,3,f,divorciado,,4,0,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
150,Robin Mills,1,malvina_howe@orn-greenholt.test,65,51,33,0,217,familiar,5,t,divorciado,,5,9,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
151,Sallie Blick,1,mitchell_cummings@simonis.example,22,5,35,7,446,familiar,7,f,solteiro,,7,1,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
152,Dr. Del Aufderhar,1,glennie_hoeger@bins.example,47,8,3,2,194,familiar,1,t,divorciado,,1,18,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
153,Olga Lubowitz III,1,mervin@kohler-prosacco.example,3,70,13,3,383,familiar,2,f,divorciado,,4,9,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
154,Mr. Fernando Zboncak,1,cassie_flatley@zieme.test,14,18,11,9,473,individual,2,f,solteiro,,4,6,2024-02-17 00:32:28 UTC,2024-02-17 00:32:28 UTC
