id,name,team_id,email,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos,created_at,updated_at
16,Dr. Kathline Kunze,1,asa@gerhold.test,87,1,34,2,272,familiar,2,f,divorciado,médio,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
17,Gov. Myles Boyle,1,clement@kozey.test,9,47,17,2,447,individual,4,f,solteiro,médio,1,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
18,Sergio Watsica,1,adela@hamill.test,61,38,34,3,472,individual,7,f,divorciado,médio,1,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
19,Lavern Witting,1,ed.osinski@reinger.example,52,66,26,1,132,familiar,5,t,casado,médio,8,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
20,Thanh Nolan,1,ruben@gislason.example,54,73,30,8,112,individual,6,t,divorciado,alto,7,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
21,Ernesto Becker,1,bradly_doyle@goldner.example,60,45,26,4,93,familiar,5,f,solteiro,baixo,1,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
22,Belia Spencer,1,hallie_ferry@miller.test,69,11,26,1,114,individual,5,t,solteiro,médio,3,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
23,Casey Pfeffer,1,carlos@rau-mccullough.test,46,30,1,3,23,individual,6,f,solteiro,médio,2,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
24,Bret Wintheiser,1,genie.corkery@gulgowski.test,52,15,27,6,111,individual,7,t,casado,alto,7,4,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
25,Ivan Mayer,1,pia@dubuque-corwin.test,82,30,34,0,332,familiar,3,f,divorciado,baixo,8,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
26,Ms. Morgan Reilly,1,desire.daugherty@altenwerth.test,62,38,5,2,383,familiar,5,f,casado,médio,8,18,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
27,Corliss Fadel,1,raleigh.collier@veum.example,61,56,31,2,271,individual,7,f,solteiro,alto,0,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
28,Rima Wintheiser,1,loyd@rolfson-prosacco.example,46,23,8,6,78,individual,4,f,divorciado,alto,4,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
29,Conrad Watsica,1,tien_gerlach@hamill-osinski.example,72,24,35,8,454,individual,5,f,casado,médio,4,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
30,Isabel Heathcote,1,vance@upton-rath.example,52,62,31,0,338,familiar,7,t,solteiro,baixo,8,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
31,Mr. Karen O'Reilly,1,stephenie@thiel-jacobson.example,68,63,20,9,144,individual,4,t,casado,baixo,3,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
32,Wallace Pfannerstill,1,raymond.boyle@donnelly.example,45,52,23,5,459,individual,7,f,solteiro,médio,0,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
33,Darrell Wilderman,1,donte@bernhard.example,24,74,37,0,178,familiar,2,f,solteiro,baixo,5,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
34,Pamela Hilpert,1,ingrid@ohara-casper.test,14,11,5,1,497,individual,2,f,divorciado,baixo,1,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
35,Kieth Thompson III,1,zane.lang@feeney.test,41,68,3,0,214,familiar,7,t,divorciado,médio,2,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
36,Stacey Davis,1,buster_roob@legros.example,81,12,35,2,273,individual,6,f,casado,alto,10,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
37,Jacklyn Wolff,1,dominica@welch.test,60,39,14,6,161,familiar,4,f,casado,alto,10,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
38,Liberty Cronin,1,claretta@keebler.test,69,43,12,2,17,individual,2,t,solteiro,alto,1,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
39,Dorian Nikolaus,1,hung@sipes.example,29,73,1,7,398,familiar,6,t,solteiro,alto,3,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
40,Bennett Jacobson,1,maria@wyman.test,61,40,26,9,281,individual,1,t,divorciado,baixo,8,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
41,Skye Jerde,1,antone@mueller.example,67,15,4,6,378,individual,2,t,divorciado,baixo,9,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
42,Mahalia Hansen,1,martine@treutel.example,50,39,24,9,16,familiar,5,f,divorciado,médio,2,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
43,Micah Terry,1,torie_herman@morar.example,18,66,1,9,424,familiar,3,f,solteiro,baixo,2,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
44,Cierra Torphy,1,tracey@willms.example,83,60,25,1,192,individual,3,t,casado,alto,10,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
45,Althea Stiedemann,1,raylene@daugherty.test,50,11,26,1,246,individual,7,t,solteiro,baixo,3,4,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
46,Evelyn Bergnaum,1,markita_hamill@casper.example,27,59,9,8,354,individual,7,t,solteiro,alto,7,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
47,Laquanda Luettgen,1,monty@batz-renner.example,7,24,1,9,232,individual,2,f,solteiro,médio,2,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
48,Coreen Harvey,1,serina.ondricka@keebler.test,24,64,8,1,48,individual,4,t,divorciado,médio,5,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
49,Ruthanne Durgan DO,1,earnest@mcclure.example,42,56,2,7,250,individual,6,f,solteiro,alto,0,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
50,Shameka Boyer,1,augustus_glover@ernser.example,85,20,6,7,3,familiar,1,t,casado,baixo,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
51,Lesley Zemlak,1,darwin_bins@graham-koch.example,7,59,28,6,206,individual,3,t,solteiro,alto,6,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
52,Pat Hackett II,1,kennith@ullrich.example,77,42,32,6,299,familiar,7,t,divorciado,baixo,5,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
53,Carley Wilkinson Jr.,1,nova@koepp-collier.test,85,30,29,1,288,familiar,6,f,casado,médio,2,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
54,Kam Schulist,1,cristobal.cremin@morar-will.example,80,65,14,8,109,familiar,6,t,divorciado,alto,1,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
55,Angelina Hartmann,1,willie@romaguera-mccullough.example,49,25,32,8,291,familiar,4,t,divorciado,alto,8,13,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
56,Norberto Pacocha,1,clarence@bins.example,42,43,20,3,341,familiar,1,t,solteiro,médio,5,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
57,Fr. Latrisha Goyette,1,bryon@wilderman.test,18,45,26,6,474,familiar,7,f,casado,baixo,8,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
58,Darron Dickens,1,art@nader-goyette.example,19,38,26,5,51,familiar,3,f,divorciado,baixo,3,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
59,Israel Brown,1,jamee.walter@boehm.example,19,30,24,2,79,individual,2,t,solteiro,baixo,5,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
60,Carman Rodriguez,1,brendon@hegmann.example,25,15,8,2,25,familiar,3,f,divorciado,médio,5,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
61,Prof. Iris Heathcote,1,nona.rowe@botsford-von.example,12,43,37,2,284,familiar,7,t,solteiro,baixo,1,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
62,Porter Blanda,1,ali@ernser-rohan.example,38,47,17,4,222,individual,7,f,solteiro,alto,0,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
63,Lovella Flatley,1,ok@koelpin.example,77,3,16,2,302,familiar,6,f,casado,médio,0,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
64,Bill Mayer,1,hobert@mosciski.example,80,30,32,3,361,familiar,2,f,solteiro,médio,5,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
65,Anthony Lindgren Jr.,1,camellia_nader@mayert.example,23,39,26,4,100,familiar,4,t,casado,médio,6,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
66,Heriberto Lynch,1,edra@friesen.example,79,6,21,4,325,familiar,6,f,divorciado,baixo,3,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
67,Jackie Altenwerth DDS,1,german@bartoletti.example,70,70,3,4,301,familiar,5,t,casado,médio,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
68,Oralee Klein,1,jana.jones@treutel.test,49,4,29,0,243,individual,3,t,solteiro,médio,0,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
69,Prof. Quinn Bailey,1,santa@torp-connelly.test,76,49,9,2,481,familiar,2,f,casado,alto,6,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC
70,Alonzo Runolfsson,1,ira_hessel@roob.test,5,30,10,2,326,individual,3,t,casado,baixo,1,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
71,Alysa MacGyver,1,sebastian.hintz@christiansen.example,27,7,6,3,91,familiar,7,f,solteiro,baixo,6,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
72,Odette Robel,1,francis_marquardt@gutmann.example,62,28,30,1,158,individual,6,f,solteiro,baixo,0,1,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
73,Edmund Kris,1,hobert@kuhic.example,53,73,9,8,350,individual,1,f,divorciado,alto,2,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
74,Rudy Medhurst,1,arnold@wintheiser-dubuque.example,33,63,2,8,181,individual,6,t,casado,médio,7,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
75,Neida Bogan,1,katelyn@howell.test,28,64,31,7,419,individual,2,t,divorciado,baixo,1,10,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
76,Pres. Shonda Dare,1,hermelinda@konopelski-lockman.example,16,74,29,0,362,individual,4,t,casado,médio,6,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
77,Graig Herman,1,milda_stoltenberg@jones-crona.test,26,44,22,3,210,individual,6,f,casado,médio,1,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
78,Jerrell Kilback,1,robt_littel@reynolds.example,57,24,32,5,188,individual,2,f,casado,médio,5,20,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
79,Shemika Botsford,1,kent@littel.test,26,11,37,6,406,familiar,3,f,casado,alto,8,7,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
80,Bebe Harris,1,hai_schoen@powlowski.test,21,44,14,5,19,individual,5,t,divorciado,alto,4,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
81,Leonia Wehner DDS,1,arnetta.schmitt@goyette-will.example,3,54,30,6,6,familiar,1,f,solteiro,baixo,7,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
82,Mr. Evan Predovic,1,roselle.dicki@vandervort-mcclure.example,77,51,7,5,218,individual,7,f,casado,baixo,9,2,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
83,Mardell Altenwerth,1,heriberto.ernser@pacocha.test,32,15,9,9,319,individual,5,t,divorciado,baixo,0,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
84,Roselle Macejkovic,1,larita@jaskolski-muller.example,45,3,13,9,268,familiar,5,f,casado,baixo,6,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
85,Rep. Iris Kutch,1,jarod@christiansen.test,83,74,18,4,333,familiar,4,f,divorciado,médio,7,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
86,Corazon Treutel,1,jenice_harvey@corkery.test,19,53,35,0,221,individual,1,t,solteiro,alto,2,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
87,Jewell Buckridge DC,1,erlinda@schowalter-lowe.test,70,58,11,3,345,familiar,1,f,divorciado,médio,1,1,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
88,Hassan Corwin,1,casey@sawayn.test,19,51,15,7,58,individual,4,t,casado,médio,2,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
89,Mr. Felicia Hammes,1,cristen@mosciski.example,74,37,3,5,361,familiar,3,f,casado,médio,5,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
90,Amb. Betty Cormier,1,clarinda@block.example,5,30,18,6,193,individual,2,f,divorciado,médio,4,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
91,Elaine Dickinson,1,felice@swaniawski.test,23,18,8,1,379,individual,4,f,casado,alto,3,2,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
92,Quinn Harvey,1,cory_bosco@jacobs-shanahan.test,25,9,10,4,490,individual,5,f,casado,médio,1,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
93,Yong Schaefer,1,sandie@brakus.example,5,42,10,6,78,familiar,3,f,divorciado,alto,10,10,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
94,Omer Mann,1,orlando@considine-quigley.test,65,65,4,0,345,individual,2,f,solteiro,alto,4,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
95,Tommy Stiedemann,1,zita_runte@huels.test,4,48,24,0,288,familiar,1,f,divorciado,alto,6,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
96,Noah Willms,1,eliz_oconner@shields.test,41,5,33,7,198,familiar,1,t,solteiro,alto,1,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
97,Gov. Sheri Connelly,1,mee.hickle@bahringer.example,31,38,0,7,281,individual,6,t,solteiro,alto,6,2,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
98,Dr. Kenneth Steuber,1,lavinia@mcdermott-ward.example,36,47,4,8,426,familiar,4,t,solteiro,alto,2,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
99,Wilbur Veum,1,hector@gorczany.test,39,60,10,8,444,familiar,4,t,divorciado,alto,8,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
100,Barrie O'Conner V,1,crissy@pagac.test,7,56,1,5,73,familiar,2,f,solteiro,médio,4,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
101,Lynsey Hamill,1,micah@johnson-weimann.test,14,24,29,2,134,individual,3,t,casado,baixo,3,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
102,Jeremy Gutkowski,1,allen_jenkins@kohler-heidenreich.test,17,40,24,4,98,individual,7,t,divorciado,alto,2,18,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
103,Arthur Herman,1,stefan@hand.example,86,7,23,4,386,familiar,6,f,divorciado,baixo,5,7,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
104,Twana Feeney,1,azzie@boehm.test,69,26,21,5,354,individual,6,f,divorciado,médio,6,16,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
105,Kenny Kassulke,1,eugenio.senger@okeefe.example,77,9,20,1,89,individual,1,t,solteiro,alto,1,7,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
106,Jinny Mann,1,german@hodkiewicz.test,21,40,19,6,377,individual,2,f,solteiro,baixo,7,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
107,Shantay Gibson,1,lai@torphy.example,57,23,24,7,496,individual,7,f,divorciado,alto,6,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
108,Aleida Olson DDS,1,so@wilkinson.test,9,17,3,5,297,individual,2,t,solteiro,médio,10,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
109,Ardis Kihn,1,venessa_heller@dickens.example,27,52,22,7,27,individual,4,t,casado,alto,9,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
110,Numbers Marvin II,1,douglass.rohan@white.test,37,55,14,7,21,individual,6,f,casado,alto,0,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
111,Daria Breitenberg III,1,saul@murphy.test,41,52,8,2,274,familiar,4,t,solteiro,alto,8,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
112,Lashawna Braun,1,benito@mclaughlin.test,40,12,32,2,238,familiar,3,f,divorciado,baixo,5,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
113,Loren Romaguera DO,1,isiah@weber.test,32,33,2,0,90,individual,7,t,divorciado,baixo,7,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
114,Damion Yost,1,charles_farrell@rippin.example,30,67,9,0,249,familiar,3,t,casado,médio,1,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
115,Eula Emmerich,1,terina@bernhard.test,3,5,33,5,481,familiar,1,t,solteiro,médio,5,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
116,Marylou Altenwerth,1,dalton@heaney.test,42,38,9,6,467,individual,7,f,divorciado,baixo,3,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
117,Numbers Hettinger,1,christinia@douglas.example,48,6,20,7,408,familiar,1,t,solteiro,médio,9,17,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
118,Sommer Hoppe IV,1,jim@flatley-ferry.example,13,9,29,0,466,individual,3,f,casado,baixo,9,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
119,Duncan Hintz,1,robert@rolfson.test,44,44,36,7,290,familiar,1,f,casado,baixo,4,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
120,Fr. Kemberly Koss,1,austin@harris.test,37,22,29,7,354,familiar,5,f,solteiro,alto,8,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
121,Mr. Neely Batz,1,davida_runte@frami.example,51,60,10,5,184,individual,3,f,solteiro,alto,3,1,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
122,Vincenzo Anderson,1,joanna@macejkovic.test,29,65,31,1,72,individual,1,f,solteiro,alto,5,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
123,Tawnya Emmerich,1,cinderella@gulgowski.test,70,7,20,7,400,familiar,5,f,casado,alto,8,7,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
124,Jacqulyn Oberbrunner LLD,1,beverly.upton@weber-hessel.test,60,29,35,8,152,familiar,6,f,solteiro,alto,9,20,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
125,Laureen Blick,1,dillon.moore@streich-kling.example,31,74,25,7,4,familiar,4,f,casado,alto,1,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
126,Darby Rohan Esq.,1,geneva.wilkinson@kiehn.example,30,44,31,1,111,familiar,4,f,divorciado,alto,7,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
127,Goldie Renner,1,damon_hand@trantow-bednar.test,21,18,31,5,123,individual,7,f,casado,médio,2,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
128,Susy Johnson,1,jerilyn.thiel@abbott.test,37,11,20,0,357,individual,7,t,divorciado,médio,1,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
129,Elizabeth Mueller,1,donnell@kutch.test,58,52,19,1,134,individual,3,f,divorciado,alto,5,1,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
130,Lemuel Stracke,1,eura_goyette@huels.test,44,20,28,7,368,individual,2,f,casado,baixo,10,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
131,Nigel Leffler,1,billye@jaskolski.example,23,74,1,9,398,familiar,4,t,casado,alto,0,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
132,Keneth Bayer,1,stephane@bins.test,74,18,22,0,369,individual,4,t,casado,médio,1,12,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
133,Beau Mann,1,alaina.dibbert@stoltenberg.test,23,44,20,7,135,individual,4,t,casado,alto,4,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
134,Pei Hills,1,bradly_keebler@mclaughlin-botsford.test,59,13,7,4,67,individual,2,t,casado,alto,7,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
135,Annamae Boehm,1,jeneva@morissette.example,64,15,28,6,429,individual,4,f,casado,alto,0,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
136,Jamaal Bernhard JD,1,ellis.stanton@bartell.example,17,40,5,5,89,familiar,4,t,solteiro,médio,8,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
137,Dortha Beer,1,ji_bergstrom@witting-ondricka.test,31,14,33,1,200,familiar,1,t,casado,médio,7,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
138,Theron Boyle,1,heath_bergstrom@cormier-west.test,48,48,2,3,91,familiar,3,f,solteiro,baixo,10,14,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
139,Pres. Johnny Aufderhar,1,glenn@paucek.test,4,48,19,7,203,individual,6,f,solteiro,alto,6,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
140,Lashay Bahringer Jr.,1,geraldo_donnelly@donnelly.example,80,30,31,4,327,familiar,5,t,casado,médio,3,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
141,Rep. Nathanael Simonis,1,carmel@hoppe.test,78,44,27,3,291,individual,1,t,casado,baixo,6,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
142,Gaston Harvey,1,kevin.armstrong@brekke.example,74,16,34,0,116,familiar,3,t,solteiro,médio,5,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
143,Dale Breitenberg,1,lucina_spinka@walsh-kris.test,26,70,8,6,84,familiar,3,f,divorciado,médio,4,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
144,Bruce Wisoky DC,1,clement_beier@farrell.example,65,51,33,0,217,familiar,5,t,divorciado,alto,5,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
145,Alexis Schroeder,1,odell@zieme-fay.example,22,5,35,7,446,familiar,7,f,solteiro,médio,7,1,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
146,Clarisa Ritchie,1,bernarda@kilback.test,47,8,3,2,194,familiar,1,t,divorciado,alto,1,18,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
147,Travis Bernhard,1,ollie_lehner@mclaughlin.example,3,70,13,3,383,familiar,2,f,divorciado,médio,4,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
148,Collin Collins,1,tran@tillman.test,14,18,11,9,473,individual,2,f,solteiro,alto,4,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
149,Maximo Dibbert,1,emilio.pouros@cormier-bednar.test,9,1,23,1,405,individual,3,f,divorciado,alto,6,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
150,Connie Erdman,1,valentine@pollich.example,77,22,23,3,226,familiar,3,f,solteiro,médio,0,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
151,Santina Smith,1,marshall@rempel.test,26,70,8,9,359,individual,2,t,divorciado,alto,3,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC
