id_x,name,team_id,email,tempo_de_assinatura,historico_de_presenca_nos_jogos,historico_de_socio,numero_de_desistencias_no_periodo,historico_de_preco_nos_planos,tipo_de_plano,quantos_membros,planos_com_ingresso_incluso,estado_civil,risco_de_churn,feedback_sobre_servicos,frequencia_de_compra_de_produtos,created_at_x,updated_at_x,id_y,number,cvc,exp_month,exp_year,customer_id,card_status,stripe_id,created_at_y,updated_at_y
11,Faustino Gislason,1,cary@corwin.test,22,56,0,7,258,individual,6,t,solteiro,médio,7,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,11,5200828282828210,862,5,2033,11,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
12,Msgr. Nestor Herzog,1,yong_glover@nader.test,71,62,18,0,355,familiar,3,t,divorciado,médio,1,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,12,5105105105105100,775,9,2027,12,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
13,Tracy Bernhard,1,gwenda@shanahan.example,19,41,23,5,325,individual,5,f,divorciado,baixo,10,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,13,4242424242424242,739,10,2028,13,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
14,Kristel Waelchi CPA,1,cleopatra.feest@gislason.example,56,42,26,8,82,familiar,1,t,divorciado,baixo,10,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,14,4000056655699556,374,11,2030,14,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
15,Sen. Nathaniel Bartell,1,florencia_willms@huel.example,71,14,6,1,9,familiar,3,f,casado,médio,1,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,15,5555555555554444,172,5,2027,15,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
16,Dr. Kathline Kunze,1,asa@gerhold.test,87,1,34,2,272,familiar,2,f,divorciado,médio,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,16,2223003122003222,182,9,2037,16,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
17,Gov. Myles Boyle,1,clement@kozey.test,9,47,17,2,447,individual,4,f,solteiro,médio,1,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,17,5200828282828210,656,3,2029,17,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
18,Sergio Watsica,1,adela@hamill.test,61,38,34,3,472,individual,7,f,divorciado,médio,1,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,18,5105105105105100,222,10,2032,18,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
19,Lavern Witting,1,ed.osinski@reinger.example,52,66,26,1,132,familiar,5,t,casado,médio,8,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,19,4242424242424242,231,7,2032,19,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
20,Thanh Nolan,1,ruben@gislason.example,54,73,30,8,112,individual,6,t,divorciado,alto,7,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,20,4000056655699556,616,11,2025,20,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
21,Ernesto Becker,1,bradly_doyle@goldner.example,60,45,26,4,93,familiar,5,f,solteiro,baixo,1,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,21,5555555555554444,655,10,2028,21,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
22,Belia Spencer,1,hallie_ferry@miller.test,69,11,26,1,114,individual,5,t,solteiro,médio,3,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,22,2223003122003222,407,9,2038,22,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
23,Casey Pfeffer,1,carlos@rau-mccullough.test,46,30,1,3,23,individual,6,f,solteiro,médio,2,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,23,5200828282828210,655,6,2027,23,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
24,Bret Wintheiser,1,genie.corkery@gulgowski.test,52,15,27,6,111,individual,7,t,casado,alto,7,4,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,24,5105105105105100,969,11,2039,24,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
25,Ivan Mayer,1,pia@dubuque-corwin.test,82,30,34,0,332,familiar,3,f,divorciado,baixo,8,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,25,4242424242424242,123,1,2036,25,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
26,Ms. Morgan Reilly,1,desire.daugherty@altenwerth.test,62,38,5,2,383,familiar,5,f,casado,médio,8,18,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,26,4000056655699556,349,7,2036,26,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
27,Corliss Fadel,1,raleigh.collier@veum.example,61,56,31,2,271,individual,7,f,solteiro,alto,0,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,27,5555555555554444,258,10,2036,27,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
28,Rima Wintheiser,1,loyd@rolfson-prosacco.example,46,23,8,6,78,individual,4,f,divorciado,alto,4,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,28,2223003122003222,374,9,2031,28,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
29,Conrad Watsica,1,tien_gerlach@hamill-osinski.example,72,24,35,8,454,individual,5,f,casado,médio,4,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,29,5200828282828210,906,4,2029,29,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
30,Isabel Heathcote,1,vance@upton-rath.example,52,62,31,0,338,familiar,7,t,solteiro,baixo,8,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,30,5105105105105100,527,3,2037,30,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
31,Mr. Karen O'Reilly,1,stephenie@thiel-jacobson.example,68,63,20,9,144,individual,4,t,casado,baixo,3,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,31,4242424242424242,163,9,2038,31,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
32,Wallace Pfannerstill,1,raymond.boyle@donnelly.example,45,52,23,5,459,individual,7,f,solteiro,médio,0,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,32,4000056655699556,672,7,2026,32,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
33,Darrell Wilderman,1,donte@bernhard.example,24,74,37,0,178,familiar,2,f,solteiro,baixo,5,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,33,5555555555554444,325,6,2034,33,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
34,Pamela Hilpert,1,ingrid@ohara-casper.test,14,11,5,1,497,individual,2,f,divorciado,baixo,1,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,34,2223003122003222,256,11,2028,34,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
35,Kieth Thompson III,1,zane.lang@feeney.test,41,68,3,0,214,familiar,7,t,divorciado,médio,2,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,35,5200828282828210,938,7,2036,35,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
36,Stacey Davis,1,buster_roob@legros.example,81,12,35,2,273,individual,6,f,casado,alto,10,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,36,5105105105105100,998,8,2035,36,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
37,Jacklyn Wolff,1,dominica@welch.test,60,39,14,6,161,familiar,4,f,casado,alto,10,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,37,4242424242424242,702,5,2025,37,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
38,Liberty Cronin,1,claretta@keebler.test,69,43,12,2,17,individual,2,t,solteiro,alto,1,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,38,4000056655699556,412,8,2031,38,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
39,Dorian Nikolaus,1,hung@sipes.example,29,73,1,7,398,familiar,6,t,solteiro,alto,3,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,39,5555555555554444,653,2,2036,39,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
40,Bennett Jacobson,1,maria@wyman.test,61,40,26,9,281,individual,1,t,divorciado,baixo,8,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,40,2223003122003222,940,5,2031,40,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
41,Skye Jerde,1,antone@mueller.example,67,15,4,6,378,individual,2,t,divorciado,baixo,9,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,41,5200828282828210,933,5,2027,41,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
42,Mahalia Hansen,1,martine@treutel.example,50,39,24,9,16,familiar,5,f,divorciado,médio,2,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,42,5105105105105100,590,7,2032,42,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
43,Micah Terry,1,torie_herman@morar.example,18,66,1,9,424,familiar,3,f,solteiro,baixo,2,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,43,4242424242424242,333,3,2030,43,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
44,Cierra Torphy,1,tracey@willms.example,83,60,25,1,192,individual,3,t,casado,alto,10,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,44,4000056655699556,950,6,2031,44,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
45,Althea Stiedemann,1,raylene@daugherty.test,50,11,26,1,246,individual,7,t,solteiro,baixo,3,4,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,45,5555555555554444,969,8,2033,45,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
46,Evelyn Bergnaum,1,markita_hamill@casper.example,27,59,9,8,354,individual,7,t,solteiro,alto,7,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,46,2223003122003222,403,2,2028,46,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
47,Laquanda Luettgen,1,monty@batz-renner.example,7,24,1,9,232,individual,2,f,solteiro,médio,2,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,47,5200828282828210,520,6,2039,47,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
48,Coreen Harvey,1,serina.ondricka@keebler.test,24,64,8,1,48,individual,4,t,divorciado,médio,5,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,48,5105105105105100,532,7,2035,48,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
49,Ruthanne Durgan DO,1,earnest@mcclure.example,42,56,2,7,250,individual,6,f,solteiro,alto,0,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,49,4242424242424242,746,8,2039,49,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
50,Shameka Boyer,1,augustus_glover@ernser.example,85,20,6,7,3,familiar,1,t,casado,baixo,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,50,4000056655699556,915,1,2033,50,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
51,Lesley Zemlak,1,darwin_bins@graham-koch.example,7,59,28,6,206,individual,3,t,solteiro,alto,6,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,51,5555555555554444,607,5,2030,51,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
52,Pat Hackett II,1,kennith@ullrich.example,77,42,32,6,299,familiar,7,t,divorciado,baixo,5,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,52,2223003122003222,605,7,2034,52,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
53,Carley Wilkinson Jr.,1,nova@koepp-collier.test,85,30,29,1,288,familiar,6,f,casado,médio,2,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,53,5200828282828210,773,9,2028,53,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
54,Kam Schulist,1,cristobal.cremin@morar-will.example,80,65,14,8,109,familiar,6,t,divorciado,alto,1,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,54,5105105105105100,284,3,2039,54,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
55,Angelina Hartmann,1,willie@romaguera-mccullough.example,49,25,32,8,291,familiar,4,t,divorciado,alto,8,13,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,55,4242424242424242,423,11,2029,55,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
56,Norberto Pacocha,1,clarence@bins.example,42,43,20,3,341,familiar,1,t,solteiro,médio,5,7,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,56,4000056655699556,919,9,2031,56,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
57,Fr. Latrisha Goyette,1,bryon@wilderman.test,18,45,26,6,474,familiar,7,f,casado,baixo,8,8,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,57,5555555555554444,723,3,2033,57,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
58,Darron Dickens,1,art@nader-goyette.example,19,38,26,5,51,familiar,3,f,divorciado,baixo,3,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,58,2223003122003222,238,5,2036,58,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
59,Israel Brown,1,jamee.walter@boehm.example,19,30,24,2,79,individual,2,t,solteiro,baixo,5,6,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,59,5200828282828210,437,8,2036,59,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
60,Carman Rodriguez,1,brendon@hegmann.example,25,15,8,2,25,familiar,3,f,divorciado,médio,5,0,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,60,5105105105105100,983,9,2031,60,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
61,Prof. Iris Heathcote,1,nona.rowe@botsford-von.example,12,43,37,2,284,familiar,7,t,solteiro,baixo,1,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,61,4242424242424242,816,9,2027,61,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
62,Porter Blanda,1,ali@ernser-rohan.example,38,47,17,4,222,individual,7,f,solteiro,alto,0,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,62,4000056655699556,495,7,2034,62,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
63,Lovella Flatley,1,ok@koelpin.example,77,3,16,2,302,familiar,6,f,casado,médio,0,2,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,63,5555555555554444,534,7,2027,63,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
64,Bill Mayer,1,hobert@mosciski.example,80,30,32,3,361,familiar,2,f,solteiro,médio,5,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,64,2223003122003222,151,10,2035,64,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
65,Anthony Lindgren Jr.,1,camellia_nader@mayert.example,23,39,26,4,100,familiar,4,t,casado,médio,6,9,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,65,5200828282828210,934,8,2027,65,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
66,Heriberto Lynch,1,edra@friesen.example,79,6,21,4,325,familiar,6,f,divorciado,baixo,3,1,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,66,5105105105105100,738,8,2026,66,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
67,Jackie Altenwerth DDS,1,german@bartoletti.example,70,70,3,4,301,familiar,5,t,casado,médio,4,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,67,4242424242424242,622,8,2031,67,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
68,Oralee Klein,1,jana.jones@treutel.test,49,4,29,0,243,individual,3,t,solteiro,médio,0,3,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,68,4000056655699556,132,6,2034,68,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
69,Prof. Quinn Bailey,1,santa@torp-connelly.test,76,49,9,2,481,familiar,2,f,casado,alto,6,5,2024-02-16 20:59:20 UTC,2024-02-16 20:59:20 UTC,69,5555555555554444,879,7,2036,69,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
70,Alonzo Runolfsson,1,ira_hessel@roob.test,5,30,10,2,326,individual,3,t,casado,baixo,1,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,70,2223003122003222,206,8,2029,70,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
71,Alysa MacGyver,1,sebastian.hintz@christiansen.example,27,7,6,3,91,familiar,7,f,solteiro,baixo,6,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,71,5200828282828210,106,11,2037,71,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
72,Odette Robel,1,francis_marquardt@gutmann.example,62,28,30,1,158,individual,6,f,solteiro,baixo,0,1,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,72,5105105105105100,122,4,2029,72,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
73,Edmund Kris,1,hobert@kuhic.example,53,73,9,8,350,individual,1,f,divorciado,alto,2,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,73,4242424242424242,652,7,2037,73,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
74,Rudy Medhurst,1,arnold@wintheiser-dubuque.example,33,63,2,8,181,individual,6,t,casado,médio,7,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,74,4000056655699556,927,4,2026,74,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
75,Neida Bogan,1,katelyn@howell.test,28,64,31,7,419,individual,2,t,divorciado,baixo,1,10,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,75,5555555555554444,739,6,2029,75,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
76,Pres. Shonda Dare,1,hermelinda@konopelski-lockman.example,16,74,29,0,362,individual,4,t,casado,médio,6,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,76,2223003122003222,445,7,2026,76,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
77,Graig Herman,1,milda_stoltenberg@jones-crona.test,26,44,22,3,210,individual,6,f,casado,médio,1,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,77,5200828282828210,418,1,2028,77,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
78,Jerrell Kilback,1,robt_littel@reynolds.example,57,24,32,5,188,individual,2,f,casado,médio,5,20,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,78,5105105105105100,537,11,2035,78,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
79,Shemika Botsford,1,kent@littel.test,26,11,37,6,406,familiar,3,f,casado,alto,8,7,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,79,4242424242424242,977,5,2032,79,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
80,Bebe Harris,1,hai_schoen@powlowski.test,21,44,14,5,19,individual,5,t,divorciado,alto,4,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,80,4000056655699556,711,11,2037,80,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
81,Leonia Wehner DDS,1,arnetta.schmitt@goyette-will.example,3,54,30,6,6,familiar,1,f,solteiro,baixo,7,8,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,81,5555555555554444,351,8,2031,81,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
82,Mr. Evan Predovic,1,roselle.dicki@vandervort-mcclure.example,77,51,7,5,218,individual,7,f,casado,baixo,9,2,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,82,2223003122003222,709,4,2030,82,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
83,Mardell Altenwerth,1,heriberto.ernser@pacocha.test,32,15,9,9,319,individual,5,t,divorciado,baixo,0,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,83,5200828282828210,534,5,2029,83,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
84,Roselle Macejkovic,1,larita@jaskolski-muller.example,45,3,13,9,268,familiar,5,f,casado,baixo,6,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,84,5105105105105100,768,5,2026,84,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
85,Rep. Iris Kutch,1,jarod@christiansen.test,83,74,18,4,333,familiar,4,f,divorciado,médio,7,3,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,85,4242424242424242,137,11,2038,85,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
86,Corazon Treutel,1,jenice_harvey@corkery.test,19,53,35,0,221,individual,1,t,solteiro,alto,2,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,86,4000056655699556,974,5,2034,86,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
87,Jewell Buckridge DC,1,erlinda@schowalter-lowe.test,70,58,11,3,345,familiar,1,f,divorciado,médio,1,1,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,87,5555555555554444,235,1,2032,87,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
88,Hassan Corwin,1,casey@sawayn.test,19,51,15,7,58,individual,4,t,casado,médio,2,9,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,88,2223003122003222,897,5,2030,88,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
89,Mr. Felicia Hammes,1,cristen@mosciski.example,74,37,3,5,361,familiar,3,f,casado,médio,5,6,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,89,5200828282828210,538,8,2039,89,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
90,Amb. Betty Cormier,1,clarinda@block.example,5,30,18,6,193,individual,2,f,divorciado,médio,4,0,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,90,5105105105105100,486,5,2027,90,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
91,Elaine Dickinson,1,felice@swaniawski.test,23,18,8,1,379,individual,4,f,casado,alto,3,2,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,91,4242424242424242,316,3,2032,91,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
92,Quinn Harvey,1,cory_bosco@jacobs-shanahan.test,25,9,10,4,490,individual,5,f,casado,médio,1,5,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,92,4000056655699556,787,9,2025,92,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
93,Yong Schaefer,1,sandie@brakus.example,5,42,10,6,78,familiar,3,f,divorciado,alto,10,10,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,93,5555555555554444,481,8,2039,93,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
94,Omer Mann,1,orlando@considine-quigley.test,65,65,4,0,345,individual,2,f,solteiro,alto,4,4,2024-02-16 20:59:21 UTC,2024-02-16 20:59:21 UTC,94,2223003122003222,427,5,2034,94,,,2024-02-16 20:59:45 UTC,2024-02-16 20:59:45 UTC
